26 de mai. de 2025 22:40:58
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Compilou_apanhou.missing_comma_bot_02*,1865 (28%),1000,100,642,101,22,0,2,2,0
2nd,Compilou_apanhou.merge_conflict_master_01*,1359 (20%),750,100,416,49,44,0,2,1,0
3rd,Xi_Beeu_z40.Beeu_Z40*,1358 (20%),800,50,463,41,4,0,1,1,2
4th,Compilou_apanhou.furia_metalica_03*,882 (13%),400,0,455,1,26,0,0,0,1
5th,Xi_Beeu_z40.Xi_Z40*,673 (10%),500,0,143,24,6,0,0,1,1
6th,Xi_Beeu_z40.BEEU_Z40_PRO*,518 (8%),300,0,216,0,2,0,0,0,1
$
