26 de mai. de 2025 22:21:25
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Os_Fuscoes.FUSCAO_PRETO*,1698 (25%),950,150,467,74,58,0,3,0,1
2nd,Os_Fuscoes.BrasiliaAmarela*,1344 (20%),750,50,369,51,124,0,1,2,0
3rd,Os_Fuscoes.FUSCA_AZUL*,1199 (18%),500,50,457,10,182,0,1,0,1
4th,CARIJOS_DA_PAMONHATRONICA.KernelReeves*,988 (15%),550,0,225,10,181,21,0,1,0
5th,CARIJOS_DA_PAMONHATRONICA.DjavanScript*,845 (13%),750,0,41,2,52,0,0,2,2
6th,CARIJOS_DA_PAMONHATRONICA.BritneyScripts*,640 (10%),250,0,210,2,178,0,0,0,1
$
