26 de mai. de 2025 22:45:48
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,SemNomeMasFunciona.Aquele_robo*,734 (27%),400,0,219,20,95,0,0,2,0
2nd,Xi_Beeu_z40.Beeu_Z40*,576 (21%),300,50,215,9,2,0,1,0,0
3rd,SemNomeMasFunciona.O_que_faltava*,498 (18%),300,0,186,5,7,0,0,0,2
4th,SemNomeMasFunciona.Nao_o_outro*,370 (14%),200,0,103,7,60,0,0,0,0
5th,Xi_Beeu_z40.Xi_Z40*,354 (13%),250,50,48,0,6,0,1,0,0
6th,Xi_Beeu_z40.BEEU_Z40_PRO*,161 (6%),50,0,110,0,1,0,0,0,0
$
