26 de mai. de 2025 19:12:40
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Compilou_apanhou.furia_metalica_03*,1871 (29%),1100,150,494,59,68,0,3,1,1
2nd,Compilou_apanhou.merge_conflict_master_01*,1382 (21%),700,50,436,28,168,0,1,1,0
3rd,Compilou_apanhou.missing_comma_bot_02*,1327 (20%),700,50,463,14,88,13,1,1,1
4th,CARIJOS_DA_PAMONHATRONICA.BritneyScripts*,846 (13%),500,0,232,5,82,28,0,0,3
5th,CARIJOS_DA_PAMONHATRONICA.KernelReeves*,581 (9%),250,0,146,0,185,0,0,0,0
6th,CARIJOS_DA_PAMONHATRONICA.DjavanScript*,525 (8%),500,0,2,0,22,1,0,2,0
$
