26 de mai. de 2025 19:15:32
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,SemNomeMasFunciona.O_que_faltava*,1966 (30%),1150,200,554,60,1,0,4,0,1
2nd,SemNomeMasFunciona.Aquele_robo*,1351 (21%),800,50,416,30,41,15,1,2,0
3rd,os_decanos.Robo1*,1117 (17%),650,0,369,11,66,21,0,1,2
4th,SemNomeMasFunciona.Nao_o_outro*,956 (15%),400,0,448,17,91,0,0,1,1
5th,os_decanos.Robo2*,543 (8%),350,0,181,13,0,0,0,0,1
6th,os_decanos.Robo3*,531 (8%),400,0,130,0,1,0,0,1,0
$
