26 de mai. de 2025 19:38:41
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,OS_DIGITJA_RAPDICO.RealMadruga*,1613 (25%),1050,100,401,25,22,16,2,2,1
2nd,SemNomeMasFunciona.O_que_faltava*,1421 (22%),850,100,429,32,11,0,2,0,1
3rd,OS_DIGITJA_RAPDICO.BarSemLona*,1060 (17%),700,50,281,25,4,0,1,0,2
4th,SemNomeMasFunciona.Aquele_robo*,831 (13%),250,0,398,9,174,0,0,0,1
5th,OS_DIGITJA_RAPDICO.PateticoDeMadri*,829 (13%),650,0,173,6,0,0,0,2,0
6th,SemNomeMasFunciona.Nao_o_outro*,650 (10%),250,0,299,8,94,0,0,1,0
$
