26 de mai. de 2025 20:03:03
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Compilou_apanhou.missing_comma_bot_02*,1799 (27%),1050,100,498,80,71,0,2,2,1
2nd,Compilou_apanhou.furia_metalica_03*,1313 (19%),750,50,416,29,68,0,1,2,0
3rd,Compilou_apanhou.merge_conflict_master_01*,1188 (18%),550,100,357,27,155,0,2,0,0
4th,Os_Fuscoes.BrasiliaAmarela*,1096 (16%),650,0,297,20,130,0,0,1,2
5th,Os_Fuscoes.FUSCA_AZUL*,729 (11%),400,0,184,10,133,3,0,0,1
6th,Os_Fuscoes.FUSCAO_PRETO*,631 (9%),350,0,172,10,98,0,0,0,1
$
