26 de mai. de 2025 20:12:27
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Os_Fieis.MeninoNey_01*,1509 (21%),600,0,512,24,258,115,0,1,1
2nd,Compilou_apanhou.missing_comma_bot_02*,1504 (21%),800,150,409,62,83,0,3,0,0
3rd,Os_Fieis.Cabelinho_03*,1268 (18%),750,100,314,43,61,0,2,0,1
4th,Compilou_apanhou.furia_metalica_03*,1037 (15%),550,0,395,12,79,0,0,1,2
5th,Compilou_apanhou.merge_conflict_master_01*,942 (13%),400,0,392,17,120,13,0,1,1
6th,Os_Fieis.ChicoMoedas_02*,848 (12%),650,0,188,0,10,0,0,2,0
$
