26 de mai. de 2025 22:47:10
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Uniao_Flasco.Romario*,1540 (22%),950,150,347,37,47,9,3,1,0
2nd,bppd.baianatron*,1390 (20%),650,0,439,60,212,28,0,2,1
3rd,Uniao_Flasco.Zico*,1238 (18%),600,0,366,9,252,10,0,1,2
4th,Uniao_Flasco.Dinamite*,1126 (16%),750,100,177,17,82,0,2,0,1
5th,bppd.Baianobo*,903 (13%),400,0,267,40,174,22,0,0,0
6th,bppd.Acaraje*,753 (11%),400,0,220,10,112,11,0,1,1
$
