26 de mai. de 2025 20:06:23
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,SemNomeMasFunciona.Nao_o_outro*,2022 (32%),1100,100,687,99,36,0,2,3,0
2nd,SemNomeMasFunciona.Aquele_robo*,1427 (23%),750,100,448,44,85,0,2,0,1
3rd,SemNomeMasFunciona.O_que_faltava*,1321 (21%),800,50,406,35,30,0,1,1,2
4th,CARIJOS_DA_PAMONHATRONICA.DjavanScript*,685 (11%),650,0,13,0,22,0,0,1,1
5th,CARIJOS_DA_PAMONHATRONICA.BritneyScripts*,642 (10%),350,0,208,0,84,0,0,0,1
6th,CARIJOS_DA_PAMONHATRONICA.KernelReeves*,219 (3%),100,0,107,0,12,0,0,0,0
$
