26 de mai. de 2025 20:20:54
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Xi_Beeu_z40.Beeu_Z40*,496 (39%),250,50,164,31,1,0,1,0,0
2nd,Xi_Beeu_z40.Xi_Z40*,281 (22%),200,0,80,0,1,0,0,1,0
3rd,Xi_Beeu_z40.BEEU_Z40_PRO*,215 (17%),150,0,64,0,1,0,0,0,1
4th,os_decanos.Robo2*,155 (12%),100,0,50,5,0,0,0,0,0
5th,os_decanos.Robo1*,100 (8%),50,0,48,0,2,0,0,0,0
6th,os_decanos.Robo3*,10 (1%),0,0,10,0,0,0,0,0,0
$
