26 de mai. de 2025 19:55:37
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Uniao_Flasco.Zico*,1569 (24%),800,50,541,59,119,0,1,2,1
2nd,Uniao_Flasco.Dinamite*,1452 (22%),900,50,343,30,110,19,1,1,3
3rd,Uniao_Flasco.Romario*,1281 (20%),650,50,428,41,79,33,1,1,0
4th,OS_DIGITJA_RAPDICO.PateticoDeMadri*,1023 (16%),700,100,204,18,1,0,2,0,1
5th,OS_DIGITJA_RAPDICO.RealMadruga*,661 (10%),450,0,132,5,74,0,0,1,0
6th,OS_DIGITJA_RAPDICO.BarSemLona*,561 (9%),250,0,209,15,88,0,0,0,0
$
