26 de mai. de 2025 22:25:55
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,SemNomeMasFunciona.Nao_o_outro*,1897 (28%),1050,200,525,68,54,0,4,0,0
2nd,SemNomeMasFunciona.O_que_faltava*,1225 (18%),900,50,237,4,34,0,1,2,1
3rd,Uniao_Flasco.Zico*,1130 (17%),550,0,435,37,108,0,0,1,2
4th,Uniao_Flasco.Dinamite*,993 (15%),550,0,284,13,143,3,0,0,2
5th,Uniao_Flasco.Romario*,963 (14%),550,0,378,21,13,0,0,2,0
6th,SemNomeMasFunciona.Aquele_robo*,497 (7%),150,0,275,4,61,7,0,0,0
$
