26 de mai. de 2025 20:14:39
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,SemNomeMasFunciona.Aquele_robo*,1441 (21%),850,100,396,42,53,0,2,1,1
2nd,Os_Fuscoes.FUSCAO_PRETO*,1231 (18%),650,0,407,1,142,30,0,1,3
3rd,SemNomeMasFunciona.O_que_faltava*,1170 (17%),800,100,235,15,19,0,2,0,1
4th,Os_Fuscoes.FUSCA_AZUL*,1095 (16%),500,0,327,33,228,6,0,1,0
5th,Os_Fuscoes.BrasiliaAmarela*,948 (14%),400,0,276,4,227,41,0,1,0
6th,SemNomeMasFunciona.Nao_o_outro*,893 (13%),550,50,216,18,59,0,1,1,0
$
