26 de mai. de 2025 19:27:54
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Os_Fuscoes.FUSCA_AZUL*,1553 (22%),850,100,433,41,128,0,2,0,2
2nd,Os_Fuscoes.BrasiliaAmarela*,1280 (18%),650,50,338,47,196,0,1,1,0
3rd,bppd.baianatron*,1231 (17%),600,50,380,42,144,14,1,1,1
4th,Os_Fuscoes.FUSCAO_PRETO*,1172 (17%),650,50,354,37,80,0,1,1,0
5th,bppd.Acaraje*,915 (13%),600,0,223,14,78,0,0,2,0
6th,bppd.Baianobo*,892 (13%),400,0,240,0,209,43,0,0,2
$
