26 de mai. de 2025 19:51:53
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,SemNomeMasFunciona.Nao_o_outro*,2310 (35%),1200,200,789,116,5,0,4,1,0
2nd,SemNomeMasFunciona.Aquele_robo*,1568 (24%),800,50,627,41,50,0,1,1,2
3rd,SemNomeMasFunciona.O_que_faltava*,1144 (17%),700,0,411,22,2,8,0,2,1
4th,os_decanos.Robo1*,947 (14%),650,0,265,11,20,0,0,1,2
5th,os_decanos.Robo2*,504 (8%),300,0,189,9,6,0,0,0,0
6th,os_decanos.Robo3*,152 (2%),100,0,50,0,2,0,0,0,0
$
