26 de mai. de 2025 22:49:57
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Os_Fieis.Cabelinho_03*,1755 (26%),850,100,511,76,203,15,2,1,1
2nd,Os_Fieis.MeninoNey_01*,1423 (21%),650,50,469,38,180,36,1,1,0
3rd,CARIJOS_DA_PAMONHATRONICA.DjavanScript*,1193 (18%),1000,100,58,6,29,0,2,2,0
4th,CARIJOS_DA_PAMONHATRONICA.KernelReeves*,867 (13%),550,0,261,0,56,0,0,1,1
5th,Os_Fieis.ChicoMoedas_02*,797 (12%),500,0,253,16,28,0,0,0,3
6th,CARIJOS_DA_PAMONHATRONICA.BritneyScripts*,689 (10%),200,0,214,0,241,33,0,0,0
$
