26 de mai. de 2025 22:33:52
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Compilou_apanhou.furia_metalica_03*,1742 (26%),1000,150,495,77,19,0,3,1,0
2nd,Compilou_apanhou.missing_comma_bot_02*,1261 (19%),650,50,456,40,60,6,1,1,0
3rd,Uniao_Flasco.Romario*,1075 (16%),700,0,323,1,52,0,0,1,3
4th,Uniao_Flasco.Zico*,913 (14%),500,0,286,19,103,5,0,1,1
5th,Uniao_Flasco.Dinamite*,875 (13%),550,0,222,4,98,0,0,1,1
6th,Compilou_apanhou.merge_conflict_master_01*,785 (12%),350,50,267,18,100,0,1,0,0
$
