26 de mai. de 2025 19:34:22
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Compilou_apanhou.merge_conflict_master_01*,1579 (23%),800,0,585,70,124,0,0,3,0
2nd,os_decanos.Robo1*,1412 (20%),800,100,373,53,72,14,2,0,1
3rd,Compilou_apanhou.furia_metalica_03*,1366 (20%),700,50,414,38,164,0,1,1,1
4th,Compilou_apanhou.missing_comma_bot_02*,1231 (18%),500,100,424,34,173,0,2,0,0
5th,os_decanos.Robo2*,753 (11%),400,0,260,9,84,0,0,1,0
6th,os_decanos.Robo3*,622 (9%),550,0,70,0,2,0,0,0,3
$
