26 de mai. de 2025 19:45:28
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,bppd.baianatron*,1694 (25%),850,100,532,57,138,17,2,0,2
2nd,bppd.Baianobo*,1340 (20%),600,50,364,60,245,22,1,0,1
3rd,CARIJOS_DA_PAMONHATRONICA.KernelReeves*,1076 (16%),700,50,215,26,85,0,1,2,0
4th,bppd.Acaraje*,851 (13%),450,0,305,11,85,0,0,1,1
5th,CARIJOS_DA_PAMONHATRONICA.DjavanScript*,849 (13%),650,50,85,14,46,4,1,1,0
6th,CARIJOS_DA_PAMONHATRONICA.BritneyScripts*,847 (13%),500,0,163,5,161,17,0,1,1
$
