26 de mai. de 2025 22:18:55
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Os_Fieis.MeninoNey_01*,1967 (27%),750,0,721,59,329,109,0,2,2
2nd,OS_DIGITJA_RAPDICO.RealMadruga*,1676 (23%),1050,150,393,23,47,13,3,1,0
3rd,OS_DIGITJA_RAPDICO.BarSemLona*,1582 (22%),850,50,430,40,176,35,1,2,1
4th,Os_Fieis.Cabelinho_03*,1227 (17%),550,50,434,25,168,0,1,0,1
5th,Os_Fieis.ChicoMoedas_02*,441 (6%),250,0,170,0,22,0,0,0,0
6th,OS_DIGITJA_RAPDICO.PateticoDeMadri*,415 (6%),300,0,102,0,13,0,0,0,1
$
