26 de mai. de 2025 20:17:07
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Uniao_Flasco.Zico*,2004 (30%),850,100,624,64,334,33,2,0,2
2nd,CARIJOS_DA_PAMONHATRONICA.KernelReeves*,1041 (16%),650,50,240,7,95,0,1,0,2
3rd,Uniao_Flasco.Dinamite*,1023 (15%),650,50,246,21,56,0,1,1,1
4th,Uniao_Flasco.Romario*,999 (15%),500,0,350,35,114,0,0,1,0
5th,CARIJOS_DA_PAMONHATRONICA.BritneyScripts*,888 (13%),450,50,219,3,166,0,1,0,0
6th,CARIJOS_DA_PAMONHATRONICA.DjavanScript*,722 (11%),650,0,42,6,22,2,0,3,0
$
