26 de mai. de 2025 19:22:09
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Xi_Beeu_z40.Beeu_Z40*,713 (26%),300,50,347,14,2,0,1,0,0
2nd,Xi_Beeu_z40.Xi_Z40*,631 (23%),400,50,162,17,2,0,1,0,1
3rd,Os_Fieis.Cabelinho_03*,469 (17%),300,0,134,19,16,0,0,1,0
4th,Os_Fieis.ChicoMoedas_02*,382 (14%),200,0,167,0,16,0,0,1,0
5th,Xi_Beeu_z40.BEEU_Z40_PRO*,290 (11%),200,0,88,0,2,0,0,0,1
6th,Os_Fieis.MeninoNey_01*,258 (9%),100,0,96,13,43,6,0,0,0
$
