26 de mai. de 2025 20:08:36
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Uniao_Flasco.Zico*,1630 (24%),700,100,593,85,151,0,2,0,0
2nd,Uniao_Flasco.Romario*,1545 (23%),750,50,650,69,25,0,1,2,0
3rd,os_decanos.Robo1*,1264 (18%),700,50,425,34,46,10,1,1,1
4th,Uniao_Flasco.Dinamite*,1172 (17%),750,50,301,13,58,0,1,1,1
5th,os_decanos.Robo3*,780 (11%),600,0,171,6,4,0,0,1,2
6th,os_decanos.Robo2*,475 (7%),250,0,221,0,4,0,0,0,1
$
