26 de mai. de 2025 22:41:57
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Os_Fieis.MeninoNey_01*,2058 (28%),750,50,733,105,365,55,1,1,1
2nd,Os_Fieis.Cabelinho_03*,1975 (27%),1000,50,619,70,208,29,1,3,1
3rd,os_decanos.Robo1*,1078 (15%),550,50,392,21,54,10,1,1,0
4th,Os_Fieis.ChicoMoedas_02*,1055 (14%),650,50,287,23,44,1,1,0,2
5th,os_decanos.Robo2*,855 (12%),500,50,221,13,71,0,1,0,0
6th,os_decanos.Robo3*,400 (5%),300,0,100,0,0,0,0,0,1
$
