26 de mai. de 2025 19:40:59
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Uniao_Flasco.Zico*,1840 (26%),1000,100,594,85,61,0,2,1,2
2nd,Uniao_Flasco.Romario*,1833 (26%),1050,50,591,51,70,21,1,4,0
3rd,Os_Fieis.MeninoNey_01*,1067 (15%),350,0,375,46,284,12,0,0,1
4th,Os_Fieis.ChicoMoedas_02*,905 (13%),600,50,208,20,26,0,1,0,1
5th,Os_Fieis.Cabelinho_03*,740 (11%),350,50,233,0,107,1,1,0,0
6th,Uniao_Flasco.Dinamite*,601 (9%),400,0,111,3,86,0,0,0,1
$
