26 de mai. de 2025 19:48:10
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Compilou_apanhou.missing_comma_bot_02*,1663 (26%),800,100,503,59,155,47,2,0,1
2nd,Compilou_apanhou.furia_metalica_03*,1479 (23%),850,50,473,29,78,0,1,1,2
3rd,Compilou_apanhou.merge_conflict_master_01*,1467 (23%),700,100,492,45,104,26,2,0,1
4th,CARIJOS_DA_PAMONHATRONICA.BritneyScripts*,712 (11%),550,0,133,0,23,6,0,2,0
5th,CARIJOS_DA_PAMONHATRONICA.KernelReeves*,657 (10%),350,0,198,3,91,15,0,1,0
6th,CARIJOS_DA_PAMONHATRONICA.DjavanScript*,523 (8%),500,0,13,0,10,0,0,1,1
$
