26 de mai. de 2025 20:09:44
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Xi_Beeu_z40.Beeu_Z40*,702 (47%),250,50,334,67,1,0,1,0,0
2nd,OS_DIGITJA_RAPDICO.RealMadruga*,471 (32%),200,0,251,20,0,0,0,1,0
3rd,Xi_Beeu_z40.Xi_Z40*,152 (10%),150,0,0,0,2,0,0,0,1
4th,OS_DIGITJA_RAPDICO.PateticoDeMadri*,102 (7%),100,0,0,0,2,0,0,0,0
5th,OS_DIGITJA_RAPDICO.BarSemLona*,59 (4%),50,0,3,0,6,0,0,0,0
6th,Xi_Beeu_z40.BEEU_Z40_PRO*,0 (0%),0,0,0,0,0,0,0,0,0
$
