26 de mai. de 2025 19:58:26
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Os_Fuscoes.FUSCA_AZUL*,1920 (26%),900,100,662,104,148,7,2,1,1
2nd,Os_Fuscoes.BrasiliaAmarela*,1351 (18%),750,50,271,24,257,0,1,1,1
3rd,Os_Fuscoes.FUSCAO_PRETO*,1199 (16%),550,50,391,33,160,15,1,1,0
4th,bppd.baianatron*,1167 (16%),550,50,345,23,184,15,1,1,0
5th,bppd.Baianobo*,949 (13%),350,0,311,36,228,24,0,0,2
6th,bppd.Acaraje*,849 (11%),650,0,195,0,4,0,0,1,1
$
