26 de mai. de 2025 22:13:20
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Uniao_Flasco.Romario*,841 (31%),450,50,263,49,29,0,1,1,0
2nd,Uniao_Flasco.Zico*,660 (24%),250,0,260,34,95,21,0,0,1
3rd,Xi_Beeu_z40.BEEU_Z40_PRO*,552 (20%),350,50,134,17,1,0,1,0,0
4th,Xi_Beeu_z40.Beeu_Z40*,349 (13%),200,0,134,15,0,0,0,0,1
5th,Xi_Beeu_z40.Xi_Z40*,282 (10%),250,0,16,0,16,0,0,1,0
6th,Uniao_Flasco.Dinamite*,63 (2%),0,0,57,0,6,0,0,0,0
$
