26 de mai. de 2025 20:19:46
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,bppd.baianatron*,1654 (23%),800,100,469,81,203,0,2,0,1
2nd,bppd.Acaraje*,1200 (17%),650,50,376,37,88,0,1,1,0
3rd,OS_DIGITJA_RAPDICO.RealMadruga*,1198 (17%),600,0,401,23,160,15,0,2,1
4th,OS_DIGITJA_RAPDICO.BarSemLona*,1119 (16%),650,50,290,30,88,11,1,2,0
5th,bppd.Baianobo*,1034 (15%),400,0,336,70,228,0,0,0,1
6th,OS_DIGITJA_RAPDICO.PateticoDeMadri*,855 (12%),650,50,134,5,17,0,1,0,2
$
