26 de mai. de 2025 22:32:36
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Xi_Beeu_z40.BEEU_Z40_PRO*,1152 (27%),600,50,433,65,5,0,1,1,1
2nd,Xi_Beeu_z40.Beeu_Z40*,981 (23%),500,50,381,49,1,0,1,0,1
3rd,bppd.Acaraje*,882 (21%),550,50,253,26,2,0,1,1,0
4th,bppd.Baianobo*,551 (13%),200,0,172,17,138,24,0,0,1
5th,bppd.baianatron*,474 (11%),200,0,225,15,34,0,0,0,0
6th,Xi_Beeu_z40.Xi_Z40*,219 (5%),200,0,0,0,19,0,0,1,0
$
