26 de mai. de 2025 20:00:58
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,bppd.Acaraje*,1484 (21%),850,100,431,61,41,1,2,1,0
2nd,bppd.baianatron*,1447 (20%),650,0,500,35,218,43,0,1,2
3rd,Os_Fieis.Cabelinho_03*,1288 (18%),650,100,341,51,131,15,2,0,1
4th,bppd.Baianobo*,1223 (17%),600,0,302,23,274,24,0,2,0
5th,Os_Fieis.ChicoMoedas_02*,874 (12%),550,50,224,18,32,0,1,0,1
6th,Os_Fieis.MeninoNey_01*,828 (12%),450,0,225,0,128,24,0,1,1
$
