26 de mai. de 2025 22:43:51
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,OS_DIGITJA_RAPDICO.BarSemLona*,2045 (33%),1200,200,468,52,109,15,4,1,0
2nd,OS_DIGITJA_RAPDICO.RealMadruga*,1686 (27%),1050,50,368,15,180,22,1,4,0
3rd,CARIJOS_DA_PAMONHATRONICA.BritneyScripts*,992 (16%),600,0,337,7,48,0,0,0,2
4th,OS_DIGITJA_RAPDICO.PateticoDeMadri*,891 (14%),650,0,212,12,17,0,0,0,3
5th,CARIJOS_DA_PAMONHATRONICA.KernelReeves*,383 (6%),150,0,113,0,120,0,0,0,0
6th,CARIJOS_DA_PAMONHATRONICA.DjavanScript*,154 (3%),100,0,13,0,41,0,0,0,0
$
