26 de mai. de 2025 22:39:53
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,SemNomeMasFunciona.O_que_faltava*,1678 (24%),950,150,502,53,23,0,3,0,1
2nd,SemNomeMasFunciona.Nao_o_outro*,1611 (23%),850,100,546,69,46,0,2,1,1
3rd,bppd.Baianobo*,1086 (16%),550,0,316,28,172,20,0,1,1
4th,bppd.baianatron*,917 (13%),400,0,413,37,67,0,0,1,0
5th,bppd.Acaraje*,886 (13%),550,0,313,3,19,0,0,1,2
6th,SemNomeMasFunciona.Aquele_robo*,724 (10%),450,0,215,15,44,0,0,1,0
$
