26 de mai. de 2025 22:38:20
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,OS_DIGITJA_RAPDICO.BarSemLona*,1302 (22%),900,50,248,22,61,20,2,2,0
2nd,OS_DIGITJA_RAPDICO.PateticoDeMadri*,1258 (21%),950,100,173,7,29,0,3,0,1
3rd,OS_DIGITJA_RAPDICO.RealMadruga*,1230 (20%),850,0,210,17,154,0,0,2,3
4th,Os_Fuscoes.BrasiliaAmarela*,970 (16%),500,0,285,19,161,5,0,0,1
5th,Os_Fuscoes.FUSCA_AZUL*,781 (13%),400,50,285,18,28,0,1,0,0
6th,Os_Fuscoes.FUSCAO_PRETO*,497 (8%),100,0,200,18,179,0,0,0,0
$
