26 de mai. de 2025 22:35:41
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,os_decanos.Robo1*,2242 (35%),1200,200,654,64,114,11,4,1,0
2nd,os_decanos.Robo2*,1157 (18%),650,0,432,24,40,12,0,1,2
3rd,CARIJOS_DA_PAMONHATRONICA.KernelReeves*,905 (14%),550,0,271,14,67,3,0,1,0
4th,CARIJOS_DA_PAMONHATRONICA.DjavanScript*,887 (14%),700,50,88,11,38,0,1,1,1
5th,CARIJOS_DA_PAMONHATRONICA.BritneyScripts*,719 (11%),400,0,270,0,49,0,0,1,1
6th,os_decanos.Robo3*,470 (7%),250,0,220,0,0,0,0,0,1
$
