26 de mai. de 2025 22:31:36
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Os_Fieis.Cabelinho_03*,1964 (28%),1050,200,555,79,80,0,4,0,0
2nd,Os_Fuscoes.BrasiliaAmarela*,1254 (18%),700,0,343,19,185,7,0,2,1
3rd,Os_Fieis.MeninoNey_01*,1177 (17%),600,0,256,42,280,0,0,1,2
4th,Os_Fuscoes.FUSCAO_PRETO*,930 (13%),500,0,271,30,128,0,0,1,0
5th,Os_Fieis.ChicoMoedas_02*,908 (13%),650,50,185,16,7,0,1,1,1
6th,Os_Fuscoes.FUSCA_AZUL*,760 (11%),250,0,284,12,197,17,0,0,1
$
