26 de mai. de 2025 22:48:24
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Os_Fuscoes.FUSCA_AZUL*,1690 (24%),750,50,583,40,234,33,1,1,1
2nd,Os_Fuscoes.FUSCAO_PRETO*,1683 (24%),850,100,504,51,149,28,2,1,0
3rd,os_decanos.Robo1*,1151 (17%),600,0,415,25,97,13,0,1,2
4th,os_decanos.Robo2*,1011 (15%),700,0,294,12,5,0,0,2,1
5th,os_decanos.Robo3*,841 (12%),600,50,186,3,1,0,1,0,1
6th,Os_Fuscoes.BrasiliaAmarela*,570 (8%),250,50,176,6,83,5,1,0,0
$
