26 de mai. de 2025 22:23:29
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Compilou_apanhou.merge_conflict_master_01*,1917 (26%),1050,100,564,59,107,38,2,2,1
2nd,Compilou_apanhou.furia_metalica_03*,1697 (23%),950,100,480,38,106,24,2,0,3
3rd,bppd.baianatron*,1069 (15%),400,50,394,49,155,21,1,0,1
4th,bppd.Baianobo*,1018 (14%),450,0,298,17,230,22,0,1,0
5th,Compilou_apanhou.missing_comma_bot_02*,847 (12%),450,0,257,5,132,3,0,1,0
6th,bppd.Acaraje*,736 (10%),450,0,229,0,56,0,0,1,0
$
