26 de mai. de 2025 19:20:07
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Uniao_Flasco.Dinamite*,1553 (25%),850,150,392,43,110,8,3,0,0
2nd,OS_DIGITJA_RAPDICO.BarSemLona*,1244 (20%),800,50,233,16,131,14,1,1,1
3rd,Uniao_Flasco.Zico*,1058 (17%),500,0,427,18,103,9,0,1,1
4th,Uniao_Flasco.Romario*,1000 (16%),500,0,431,9,44,16,0,1,1
5th,OS_DIGITJA_RAPDICO.RealMadruga*,876 (14%),600,50,154,7,65,0,1,0,2
6th,OS_DIGITJA_RAPDICO.PateticoDeMadri*,576 (9%),500,0,64,2,10,0,0,2,0
$
