26 de mai. de 2025 19:42:06
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Xi_Beeu_z40.Beeu_Z40*,517 (41%),250,50,193,17,6,0,1,0,0
2nd,Os_Fuscoes.BrasiliaAmarela*,307 (24%),150,0,65,0,82,10,0,0,1
3rd,Os_Fuscoes.FUSCAO_PRETO*,246 (19%),200,0,42,0,4,0,0,1,0
4th,Xi_Beeu_z40.Xi_Z40*,102 (8%),100,0,0,0,2,0,0,0,0
5th,Os_Fuscoes.FUSCA_AZUL*,78 (6%),50,0,19,0,10,0,0,0,0
6th,Xi_Beeu_z40.BEEU_Z40_PRO*,21 (2%),0,0,16,0,5,0,0,0,0
$
