27 de mai. de 2025 08:57:26
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Xi_Beeu_z40.Beeu_Z40*,983 (34%),500,100,330,48,5,0,2,0,0
2nd,Os_Fieis.MeninoNey_01*,905 (32%),400,0,380,32,70,23,0,2,0
3rd,Os_Fieis.ChicoMoedas_02*,283 (10%),150,0,126,0,7,0,0,0,1
4th,Xi_Beeu_z40.Xi_Z40*,278 (10%),150,0,112,0,16,0,0,0,0
5th,Xi_Beeu_z40.BEEU_Z40_PRO*,210 (7%),150,0,58,0,2,0,0,0,1
6th,Os_Fieis.Cabelinho_03*,209 (7%),150,0,30,0,29,0,0,0,0
$
