26 de mai. de 2025 22:15:47
Results for 5 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Compilou_apanhou.furia_metalica_03*,1310 (20%),600,0,469,45,184,13,0,0,2
2nd,Compilou_apanhou.merge_conflict_master_01*,1249 (19%),650,100,349,41,85,24,2,0,0
3rd,SemNomeMasFunciona.O_que_faltava*,1154 (17%),750,100,273,28,2,0,2,1,0
4th,SemNomeMasFunciona.Nao_o_outro*,1117 (17%),750,50,211,11,86,9,1,1,2
5th,Compilou_apanhou.missing_comma_bot_02*,961 (14%),500,0,341,42,78,0,0,1,1
6th,SemNomeMasFunciona.Aquele_robo*,906 (14%),500,0,300,6,100,0,0,2,0
$
