POSICAO,EQUIPE,SOMA PONTOS,JOGOS,VITORIA,DERROTA,GP,GC,SG,%
1,Compilou_apanhou,55,13,11,2,39458,25266,14192,84.62
2,SemNomeMasFunciona,50,13,10,3,34197,24635,9562,76.92
3,Uniao_Flasco,40,13,8,5,32942,26707,6235,61.54
4,Xi_Beeu_z40,35,13,7,6,13744,14997,-1253,53.85
5,bppd,25,13,5,8,31116,33786,-2670,38.46
